ISP_ASN, prefix, {geolocation}
ATT_AS7018, 162.222.199.0/24, {'162.222.199.50': {'city': 'Atlanta', 'state': 'Georgia'}, '162.222.199.150': {'city': 'Atlanta', 'state': 'Georgia'}}
ATT_AS7018, 107.225.152.0/22, {'107.225.152.100': {'city': 'San Francisco', 'state': 'California'}, '107.225.155.100': {'city': 'Redmond', 'state': 'Washington'}}
ATT_AS7018, 167.160.173.0/24, {'167.160.173.50': {'city': 'Elk Grove Village', 'state': 'Illinois'}, '167.160.173.150': {'city': 'Elk Grove Village', 'state': 'Illinois'}}
ATT_AS7018, 155.94.189.0/24, {'155.94.189.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.189.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 107.161.95.0/24, {'107.161.95.50': {'city': 'Los Angeles', 'state': 'California'}, '107.161.95.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 107.125.35.0/24, {'107.125.35.50': {'city': None, 'state': None}, '107.125.35.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 209.54.110.0/24, {'209.54.110.50': {'city': 'Los Angeles', 'state': 'California'}, '209.54.110.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 162.245.189.0/24, {'162.245.189.50': {'city': 'Frisco', 'state': 'Texas'}, '162.245.189.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 155.94.233.0/24, {'155.94.233.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.233.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 47.209.61.0/24, {'47.209.61.50': {'city': 'Foresthill', 'state': 'California'}, '47.209.61.150': {'city': 'Foresthill', 'state': 'California'}}
ATT_AS7018, 104.223.63.0/24, {'104.223.63.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.63.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 162.245.186.0/24, {'162.245.186.50': {'city': 'New York City', 'state': 'New York'}, '162.245.186.150': {'city': 'New York City', 'state': 'New York'}}
