ISP_ASN, IP, check1, check2, check3, state
CENTURYLINK_AS209, 209.142.189.0/24, Columbia, Columbia, Missouri
CENTURYLINK_AS209, 206.99.185.0/24, None, None, None
CENTURYLINK_AS209, 184.159.80.0/24, Winlock, Winlock, Washington
CENTURYLINK_AS209, 69.69.247.0/24, Las Vegas, Las Vegas, Nevada
CENTURYLINK_AS209, 68.70.239.0/24, Tucson, Tucson, Arizona
CENTURYLINK_AS209, 67.239.154.0/24, Lehigh Acres, Lehigh Acres, Florida
CENTURYLINK_AS209, 66.243.192.0/21, Mosca, Crestone, Crestone, Colorado
CENTURYLINK_AS209, 68.70.238.0/24, Tucson, Tucson, Arizona
CENTURYLINK_AS209, 199.231.252.0/24, Tucson, Tucson, Arizona
CENTURYLINK_AS209, 209.142.180.0/23, Columbia, Columbia, Missouri
CENTURYLINK_AS209, 64.45.252.0/24, Warrensburg, Warrensburg, Missouri
CENTURYLINK_AS209, 75.171.59.0/24, Wheatfield, Wheatfield, Indiana
CENTURYLINK_AS209, 75.171.60.0/24, Eustis, Eustis, Florida
CENTURYLINK_AS209, 76.6.56.0/22, None, None, None
CENTURYLINK_AS209, 64.91.27.0/24, Harrisburg, Columbia, Missouri
CENTURYLINK_AS209, 184.0.192.0/24, Rolla, Rolla, Missouri
CENTURYLINK_AS209, 64.45.254.0/24, Vienna, Rolla, Missouri
CENTURYLINK_AS209, 63.156.135.0/24, Taos, Taos, New Mexico
CENTURYLINK_AS209, 67.77.63.0/24, Rolla, Rolla, Missouri
CENTURYLINK_AS209, 67.239.152.0/23, Lehigh Acres, Lehigh Acres, Florida
CENTURYLINK_AS209, 97.75.234.0/24, Tucson, Tucson, Arizona
CENTURYLINK_AS209, 65.116.218.0/24, Cable, Cable, Wisconsin
CENTURYLINK_AS209, 97.75.227.0/24, Tucson, Tucson, Arizona
CENTURYLINK_AS209, 67.77.62.0/24, Rolla, Rolla, Missouri
FRONTIER_AS5650, 47.190.128.0/18, League City, Grapevine, None, Texas
FRONTIER_AS5650, 47.190.132.0/23, Southlake, Denton, Texas
FRONTIER_AS5650, 47.190.134.0/23, Grapevine, Southlake, Texas
FRONTIER_AS5650, 47.190.156.0/22, Grapevine, Grapevine, Texas
FRONTIER_AS5650, 47.190.136.0/23, Krum, Krum, Texas
WINDSTREAM_AS7029, 72.251.100.0/22, None, None, None
WINDSTREAM_AS7029, 72.251.108.0/23, None, None, None
WINDSTREAM_AS7029, 209.242.46.0/24, None, None, None
WINDSTREAM_AS7029, 45.150.221.0/24, Ashburn, Ashburn, Virginia
WINDSTREAM_AS7029, 207.222.3.0/24, Jacksonville, Weaver, Alabama
WINDSTREAM_AS7029, 45.150.220.0/24, Ashburn, Ashburn, Virginia
WINDSTREAM_AS7029, 205.232.204.0/23, Mandeville, Mandeville, Louisiana
WINDSTREAM_AS7029, 209.255.166.0/24, Hollywood, Hollywood, Florida
WINDSTREAM_AS7029, 72.251.54.0/23, None, None, None
WINDSTREAM_AS7029, 208.139.169.0/24, None, None, None
WINDSTREAM_AS7029, 23.142.176.0/24, Las Vegas, Las Vegas, Nevada
WINDSTREAM_AS7029, 72.251.112.0/23, None, None, None
WINDSTREAM_AS7029, 23.143.16.0/24, Brooklyn, Brooklyn, New York
WINDSTREAM_AS7029, 40.131.2.0/23, Pottstown, Pottstown, Pennsylvania
WINDSTREAM_AS7029, 63.250.240.0/20, Woodridge, Elk Grove Village, Chicago, Illinois
WINDSTREAM_AS7029, 45.150.222.0/24, Ashburn, Ashburn, Virginia
WINDSTREAM_AS7029, 65.168.145.0/24, None, None, None
WINDSTREAM_AS7029, 63.250.224.0/20, Willowbrook, Chicago, Naperville, Illinois
GOOGLE-LLC_AS15169, 35.206.1.0/24, None, None, None
GOOGLE-LLC_AS15169, 35.206.6.0/24, None, None, None
COMCAST_AS7922, 208.166.57.0/24, Phoenix, Phoenix, Arizona
COMCAST_AS7922, 208.166.48.0/21, None, None, None, None
COMCAST_AS7922, 208.166.62.0/23, Stockholm, Stockholm, Stockholm County
COMCAST_AS7922, 208.69.176.0/23, Philadelphia, Philadelphia, Pennsylvania
COMCAST_AS7922, 208.166.59.0/24, Las Vegas, Las Vegas, Nevada
COMCAST_AS7922, 208.166.56.0/24, Dallas, Dallas, Texas
COMCAST_AS7922, 96.116.196.0/22, None, None, None
COMCAST_AS7922, 208.69.180.0/23, Boston, Boston, Massachusetts
COMCAST_AS7922, 208.69.182.0/23, New York, New York, New York
COMCAST_AS7922, 162.148.108.0/23, None, None, None
COMCAST_AS7922, 208.69.178.0/23, Philadelphia, Philadelphia, Pennsylvania
SUDDENLINK_AS19108, 24.156.17.0/24, Mohave Valley, None, Arizona
SUDDENLINK_AS19108, 64.72.42.0/23, Brenham, Navasota, Texas
TEXAS-GIGA-POP_AS22645, 199.115.210.0/24, Alpine, Alpine, Texas
TEXAS-GIGA-POP_AS22645, 199.115.208.0/23, Alpine, Alpine, Texas
GRANDE_AS7459, 66.90.129.0/24, Midland, Midland, Texas

Total - 146
Texas - 15
None - 35
