ISP_ASN, IP, check1, check2, check3, state
ATT_AS7018, 204.90.115.0/24, None, None, None
ATT_AS7018, 107.225.252.0/22, None, None, None
ATT_AS7018, 216.126.220.0/22, Huntsville, Huntsville, Tennessee
ATT_AS7018, 192.203.134.0/24, None, None, None
ATT_AS7018, 192.159.37.0/24, Waller, Waller, Texas
ATT_AS7018, 208.103.178.0/24, None, None, None
ATT_AS7018, 137.83.77.0/24, None, None, None
ATT_AS7018, 209.33.10.0/24, None, None, None
ATT_AS7018, 107.125.44.0/24, None, None, None
ATT_AS7018, 204.145.135.0/24, None, None, None
ATT_AS7018, 209.33.11.0/24, None, None, None
ATT_AS7018, 192.86.32.0/24, None, None, None
ATT_AS7018, 198.81.193.0/24, None, None, None
ATT_AS7018, 148.131.255.0/24, None, None, None
ATT_AS7018, 107.125.50.0/24, None, None, None
ATT_AS7018, 192.86.33.0/24, None, None, None
ATT_AS7018, 47.209.61.0/24, Foresthill, Foresthill, California
ATT_AS7018, 107.225.10.0/24, None, None, None
ATT_AS7018, 204.238.234.0/24, None, None, None
ATT_AS7018, 204.152.158.0/24, Bolingbrook, Bolingbrook, Illinois
ATT_AS7018, 24.32.207.0/24, None, None, None
ATT_AS7018, 47.209.60.0/24, Foresthill, Foresthill, California
ATT_AS7018, 159.157.236.0/23, None, None, None
ATT_AS7018, 147.160.166.0/24, Midland, Midland, Michigan
ATT_AS7018, 164.168.2.0/23, None, None, None
ATT_AS7018, 122.98.220.0/22, None, None, None
ATT_AS7018, 66.192.224.0/24, Memphis, Memphis, Tennessee
ATT_AS7018, 107.225.251.0/24, None, None, None
ATT_AS7018, 65.204.150.0/24, None, None, None
ATT_AS7018, 198.246.160.0/21, Galveston, None, None, Texas
TEXAS-UNI-AM_AS1970, 192.195.87.0/24, None, None, None
TEXAS-UNI-AM_AS1970, 98.159.48.0/20, Killeen, Killeen, Killeen, Texas
TEXAS-UNI-AM_AS1970, 173.224.80.0/20, None, None, None, None
TEXAS-UNI-AM_AS1970, 173.255.32.0/20, Stephenville, Stephenville, Stephenville, Texas
