ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 151.116.186.0/24, {'151.116.186.50': {'city': None, 'state': None}, '151.116.186.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 24.32.134.0/24, {'24.32.134.50': {'city': None, 'state': None}, '24.32.134.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 184.159.216.0/24, {'184.159.216.50': {'city': 'San Marcos', 'state': 'Texas'}, '184.159.216.150': {'city': 'San Marcos', 'state': 'Texas'}}
CENTURYLINK_AS209, 96.44.30.0/24, {'96.44.30.50': {'city': 'Fort Collins', 'state': 'Colorado'}, '96.44.30.150': {'city': 'Fort Collins', 'state': 'Colorado'}}
CENTURYLINK_AS209, 64.91.127.0/24, {'64.91.127.50': {'city': 'Depoe Bay', 'state': 'Oregon'}, '64.91.127.150': {'city': 'Depoe Bay', 'state': 'Oregon'}}
CENTURYLINK_AS209, 66.243.192.0/21, {'66.243.192.100': {'city': 'Mosca', 'state': 'Colorado'}, '66.243.195.100': {'city': 'Crestone', 'state': 'Colorado'}, '66.243.198.100': {'city': 'Crestone', 'state': 'Colorado'}}
CENTURYLINK_AS209, 207.30.52.0/24, {'207.30.52.50': {'city': 'East Northport', 'state': 'New York'}, '207.30.52.150': {'city': 'East Northport', 'state': 'New York'}}
CENTURYLINK_AS209, 76.6.56.0/22, {'76.6.56.100': {'city': None, 'state': None}, '76.6.59.100': {'city': None, 'state': None}}
CENTURYLINK_AS209, 151.116.188.0/24, {'151.116.188.50': {'city': None, 'state': None}, '151.116.188.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 67.14.0.0/17, {'67.14.0.100': {'city': None, 'state': None}, '67.14.60.100': {'city': None, 'state': None}, '67.14.120.100': {'city': None, 'state': None}}
CENTURYLINK_AS209, 75.171.68.0/24, {'75.171.68.50': {'city': None, 'state': None}, '75.171.68.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 204.138.26.0/24, {'204.138.26.50': {'city': 'Bridgeport', 'state': 'Texas'}, '204.138.26.150': {'city': 'Bridgeport', 'state': 'Texas'}}
CENTURYLINK_AS209, 63.156.135.0/24, {'63.156.135.50': {'city': 'Taos', 'state': 'New Mexico'}, '63.156.135.150': {'city': 'Taos', 'state': 'New Mexico'}}
CENTURYLINK_AS209, 151.116.193.0/24, {'151.116.193.50': {'city': None, 'state': None}, '151.116.193.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 137.107.64.0/24, {'137.107.64.50': {'city': None, 'state': None}, '137.107.64.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 65.116.218.0/24, {'65.116.218.50': {'city': 'Cable', 'state': 'Wisconsin'}, '65.116.218.150': {'city': 'Cable', 'state': 'Wisconsin'}}
CENTURYLINK_AS209, 75.171.73.0/24, {'75.171.73.50': {'city': None, 'state': None}, '75.171.73.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 24.206.197.0/24, {'24.206.197.50': {'city': None, 'state': None}, '24.206.197.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 216.160.156.0/23, {'216.160.156.100': {'city': 'Denver', 'state': 'Colorado'}, '216.160.157.100': {'city': 'Denver', 'state': 'Colorado'}}
FRONTIER_AS5650, 173.59.165.0/24, {'173.59.165.50': {'city': 'Ozona', 'state': 'Texas'}, '173.59.165.150': {'city': 'Ozona', 'state': 'Texas'}}
FRONTIER_AS5650, 71.97.40.0/24, {'71.97.40.50': {'city': 'San Angelo', 'state': 'Texas'}, '71.97.40.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.188.244.0/22, {'47.188.244.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.188.247.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.8.0/24, {'66.13.8.50': {'city': None, 'state': None}, '66.13.8.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 71.169.207.0/24, {'71.169.207.50': {'city': None, 'state': None}, '71.169.207.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.189.80.0/22, {'47.189.80.100': {'city': 'Eldorado', 'state': 'Texas'}, '47.189.83.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.183.144.0/20, {'47.183.144.100': {'city': 'Early', 'state': 'Texas'}, '47.183.150.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.156.100': {'city': 'Early', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.84.0/24, {'66.13.84.50': {'city': None, 'state': None}, '66.13.84.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.12.207.0/24, {'66.12.207.50': {'city': None, 'state': None}, '66.12.207.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.13.66.0/24, {'66.13.66.50': {'city': None, 'state': None}, '66.13.66.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.15.53.0/24, {'66.15.53.50': {'city': None, 'state': None}, '66.15.53.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.14.151.0/24, {'66.14.151.50': {'city': None, 'state': None}, '66.14.151.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.13.147.0/24, {'66.13.147.50': {'city': None, 'state': None}, '66.13.147.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.12.179.0/24, {'66.12.179.50': {'city': None, 'state': None}, '66.12.179.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 74.43.218.0/24, {'74.43.218.50': {'city': 'Sherburn', 'state': 'Minnesota'}, '74.43.218.150': {'city': 'Sherburn', 'state': 'Minnesota'}}
FRONTIER_AS5650, 47.183.96.0/21, {'47.183.96.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.99.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.102.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.123.0/24, {'66.13.123.50': {'city': None, 'state': None}, '66.13.123.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.13.154.0/24, {'66.13.154.50': {'city': None, 'state': None}, '66.13.154.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 96.226.223.0/24, {'96.226.223.50': {'city': 'Plano', 'state': 'Texas'}, '96.226.223.150': {'city': 'Plano', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.228.0/24, {'71.169.228.50': {'city': None, 'state': None}, '71.169.228.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 71.116.12.0/24, {'71.116.12.50': {'city': 'Rochelle', 'state': 'Texas'}, '71.116.12.150': {'city': 'Rochelle', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.20.0/24, {'66.14.20.50': {'city': None, 'state': None}, '66.14.20.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.13.143.0/24, {'66.13.143.50': {'city': None, 'state': None}, '66.13.143.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.183.108.0/24, {'47.183.108.50': {'city': 'Bangs', 'state': 'Texas'}, '47.183.108.150': {'city': 'Bangs', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.103.0/24, {'66.12.103.50': {'city': None, 'state': None}, '66.12.103.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 74.43.216.0/23, {'74.43.216.100': {'city': 'Sherburn', 'state': 'Minnesota'}, '74.43.217.100': {'city': 'Sherburn', 'state': 'Minnesota'}}
FRONTIER_AS5650, 66.13.175.0/24, {'66.13.175.50': {'city': None, 'state': None}, '66.13.175.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.14.92.0/24, {'66.14.92.50': {'city': None, 'state': None}, '66.14.92.150': {'city': None, 'state': None}}
