ISP_ASN, prefix, {geolocation}
TEXAS-UNI_AS3354, 198.215.67.0/24, {'198.215.67.50': {'city': None, 'state': None}, '198.215.67.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.141.0/24, {'207.64.141.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.141.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.78.0/24, {'198.215.78.50': {'city': None, 'state': None}, '198.215.78.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.68.0/24, {'198.215.68.50': {'city': None, 'state': None}, '198.215.68.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.75.0/24, {'198.215.75.50': {'city': None, 'state': None}, '198.215.75.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.72.0/24, {'198.215.72.50': {'city': None, 'state': None}, '198.215.72.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.64.0/20, {'198.215.64.100': {'city': None, 'state': None}, '198.215.70.100': {'city': None, 'state': None}, '198.215.76.100': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.73.0/24, {'198.215.73.50': {'city': None, 'state': None}, '198.215.73.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.69.0/24, {'198.215.69.50': {'city': None, 'state': None}, '198.215.69.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.140.0/24, {'207.64.140.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.140.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.65.0/24, {'198.215.65.50': {'city': None, 'state': None}, '198.215.65.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.140.0/22, {'207.64.140.100': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.100': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.70.0/24, {'198.215.70.50': {'city': None, 'state': None}, '198.215.70.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.66.0/24, {'198.215.66.50': {'city': None, 'state': None}, '198.215.66.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.71.0/24, {'198.215.71.50': {'city': None, 'state': None}, '198.215.71.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.77.0/24, {'198.215.77.50': {'city': None, 'state': None}, '198.215.77.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.143.0/24, {'207.64.143.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.76.0/24, {'198.215.76.50': {'city': None, 'state': None}, '198.215.76.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.74.0/24, {'198.215.74.50': {'city': None, 'state': None}, '198.215.74.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.142.0/24, {'207.64.142.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.142.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 75.171.67.0/24, {'75.171.67.50': {'city': None, 'state': None}, '75.171.67.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 24.223.72.0/23, {'24.223.72.100': {'city': 'Ranchester', 'state': 'Wyoming'}, '24.223.73.100': {'city': 'Ranchester', 'state': 'Wyoming'}}
CENTURYLINK_AS209, 104.77.105.0/24, {'104.77.105.50': {'city': None, 'state': 'Pennsylvania'}, '104.77.105.150': {'city': None, 'state': 'Pennsylvania'}}
CENTURYLINK_AS209, 209.136.249.0/24, {'209.136.249.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.249.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.248.0/24, {'209.136.248.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.248.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.251.0/24, {'209.136.251.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.251.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.250.0/24, {'209.136.250.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.250.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.136.255.0/24, {'209.136.255.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.255.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 138.210.80.0/24, {'138.210.80.50': {'city': 'Flemington', 'state': 'New Jersey'}, '138.210.80.150': {'city': 'Flemington', 'state': 'New Jersey'}}
CENTURYLINK_AS209, 75.171.70.0/24, {'75.171.70.50': {'city': None, 'state': None}, '75.171.70.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 68.233.63.0/24, {'68.233.63.50': {'city': None, 'state': None}, '68.233.63.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 23.160.96.0/24, {'23.160.96.50': {'city': 'Windsor', 'state': 'Colorado'}, '23.160.96.150': {'city': 'Severance', 'state': 'Colorado'}}
