ISP_ASN, prefix, {geolocation}
WINDSTREAM_AS7029, 167.160.158.0/24, {'167.160.158.50': {'city': 'Flagstaff', 'state': 'Arizona'}, '167.160.158.150': {'city': 'Flagstaff', 'state': 'Arizona'}}
WINDSTREAM_AS7029, 66.217.98.0/24, {'66.217.98.50': {'city': 'Anaheim', 'state': 'California'}, '66.217.98.150': {'city': 'Anaheim', 'state': 'California'}}
WINDSTREAM_AS7029, 64.201.144.0/21, {'64.201.144.100': {'city': 'Golden', 'state': 'Colorado'}, '64.201.147.100': {'city': 'Golden', 'state': 'Colorado'}, '64.201.150.100': {'city': 'Golden', 'state': 'Colorado'}}
WINDSTREAM_AS7029, 64.201.152.0/22, {'64.201.152.100': {'city': 'Golden', 'state': 'Colorado'}, '64.201.155.100': {'city': 'Golden', 'state': 'Colorado'}}
WINDSTREAM_AS7029, 40.140.254.0/23, {'40.140.254.100': {'city': 'Las Vegas', 'state': 'Nevada'}, '40.140.255.100': {'city': 'New York City', 'state': 'New York'}}
WINDSTREAM_AS7029, 66.217.96.0/22, {'66.217.96.100': {'city': 'Moreno Valley', 'state': 'California'}, '66.217.99.100': {'city': 'Moreno Valley', 'state': 'California'}}
WINDSTREAM_AS7029, 148.100.74.0/24, {'148.100.74.50': {'city': 'Poughkeepsie', 'state': 'New York'}, '148.100.74.150': {'city': 'Poughkeepsie', 'state': 'New York'}}
CENTURYLINK_AS209, 67.16.80.0/24, {'67.16.80.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.80.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 67.16.84.0/24, {'67.16.84.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.84.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 67.16.87.0/24, {'67.16.87.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.87.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 69.69.129.0/24, {'69.69.129.50': {'city': 'Denver', 'state': 'Colorado'}, '69.69.129.150': {'city': 'Miami', 'state': 'Florida'}}
CENTURYLINK_AS209, 63.150.4.0/24, {'63.150.4.50': {'city': 'Stockton', 'state': 'California'}, '63.150.4.150': {'city': 'Stockton', 'state': 'California'}}
CENTURYLINK_AS209, 67.16.89.0/24, {'67.16.89.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.89.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 216.226.196.0/24, {'216.226.196.50': {'city': 'Las Vegas', 'state': 'Nevada'}, '216.226.196.150': {'city': 'Las Vegas', 'state': 'Nevada'}}
CENTURYLINK_AS209, 198.60.168.0/21, {'198.60.168.100': {'city': 'Phoenix', 'state': 'Arizona'}, '198.60.171.100': {'city': 'Phoenix', 'state': 'Arizona'}, '198.60.174.100': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 199.104.216.0/23, {'199.104.216.100': {'city': 'Phoenix', 'state': 'Arizona'}, '199.104.217.100': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 75.171.36.0/24, {'75.171.36.50': {'city': 'Forks', 'state': 'Washington'}, '75.171.36.150': {'city': 'Tukwila', 'state': 'Washington'}}
CENTURYLINK_AS209, 67.16.85.0/24, {'67.16.85.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.85.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 67.16.88.0/24, {'67.16.88.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.88.150': {'city': 'Monroe', 'state': 'Louisiana'}}
