ISP_ASN, prefix, {geolocation}
GRANDE_AS7459, 67.198.48.0/24, {'67.198.48.50': {'city': 'Allen', 'state': 'Texas'}, '67.198.48.150': {'city': 'Allen', 'state': 'Texas'}}
GRANDE_AS7459, 66.90.227.0/24, {'66.90.227.50': {'city': 'Austin', 'state': 'Texas'}, '66.90.227.150': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 216.188.227.0/24, {'216.188.227.50': {'city': 'Austin', 'state': 'Texas'}, '216.188.227.150': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 130.45.4.0/24, {'130.45.4.50': {'city': 'Dallas', 'state': 'Texas'}, '130.45.4.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.156.0/23, {'24.155.156.100': {'city': 'Temple', 'state': 'Texas'}, '24.155.157.100': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 216.188.251.0/24, {'216.188.251.50': {'city': 'Temple', 'state': 'Texas'}, '216.188.251.150': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.9.0/24, {'67.198.9.50': {'city': 'Corpus Christi', 'state': 'Texas'}, '67.198.9.150': {'city': 'Corpus Christi', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.200.0/23, {'72.48.200.100': {'city': 'Waco', 'state': 'Texas'}, '72.48.201.100': {'city': 'Waco', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.99.0/24, {'67.198.99.50': {'city': 'Dallas', 'state': 'Texas'}, '67.198.99.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.63.0/24, {'67.198.63.50': {'city': 'Frisco', 'state': 'Texas'}, '67.198.63.150': {'city': 'Frisco', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.196.0/23, {'72.48.196.100': {'city': 'Odessa', 'state': 'Texas'}, '72.48.197.100': {'city': 'Odessa', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.192.0/20, {'24.155.192.100': {'city': 'Corpus Christi', 'state': 'Texas'}, '24.155.198.100': {'city': 'Corpus Christi', 'state': 'Texas'}, '24.155.204.100': {'city': 'Corpus Christi', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.108.0/24, {'72.48.108.50': {'city': 'San Marcos', 'state': 'Texas'}, '72.48.108.150': {'city': 'San Marcos', 'state': 'Texas'}}
GRANDE_AS7459, 66.196.9.0/24, {'66.196.9.50': {'city': 'Waco', 'state': 'Texas'}, '66.196.9.150': {'city': 'Waco', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.21.0/24, {'72.48.21.50': {'city': 'Carrollton', 'state': 'Texas'}, '72.48.21.150': {'city': 'Carrollton', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.242.0/24, {'72.48.242.50': {'city': 'Dallas', 'state': 'Texas'}, '72.48.242.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.202.0/23, {'72.48.202.100': {'city': 'Temple', 'state': 'Texas'}, '72.48.203.100': {'city': 'Temple', 'state': 'Texas'}}
