ISP_ASN, prefix, {geolocation}
SANTA-ROSA_AS32391, 74.120.130.0/24, {'74.120.130.50': {'city': 'Burkburnett', 'state': 'Texas'}, '74.120.130.150': {'city': 'Burkburnett', 'state': 'Texas'}}
COMCAST_AS7922, 96.114.116.0/22, {'96.114.116.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.114.119.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.112.88.0/21, {'96.112.88.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.112.91.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.112.94.100': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 96.96.24.0/21, {'96.96.24.100': {'city': 'Lakewood', 'state': 'Washington'}, '96.96.27.100': {'city': 'Big Bend', 'state': 'California'}, '96.96.30.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.96.40.0/21, {'96.96.40.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.96.43.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.96.46.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 162.151.24.0/23, {'162.151.24.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '162.151.25.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.96.0/22, {'96.114.96.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.114.99.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.125.0/24, {'96.113.125.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.125.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.236.0/24, {'96.113.236.50': {'city': 'Seattle', 'state': 'Washington'}, '96.113.236.150': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 162.151.234.0/24, {'162.151.234.50': {'city': 'Hillsboro', 'state': 'Oregon'}, '162.151.234.150': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 96.108.170.0/24, {'96.108.170.50': {'city': 'Northlake', 'state': 'Illinois'}, '96.108.170.150': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.113.148.0/22, {'96.113.148.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.113.151.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.115.88.0/23, {'96.115.88.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.115.89.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.119.80.0/20, {'96.119.80.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.119.86.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.119.92.100': {'city': 'Atlantic City', 'state': 'New Jersey'}}
COMCAST_AS7922, 69.241.52.0/24, {'69.241.52.50': {'city': 'Denver', 'state': 'Colorado'}, '69.241.52.150': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.115.198.0/23, {'96.115.198.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.115.199.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.116.196.0/22, {'96.116.196.100': {'city': 'Newark', 'state': 'New Jersey'}, '96.116.199.100': {'city': 'Newark', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.32.0/19, {'96.113.32.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.47.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.62.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 24.153.92.0/23, {'24.153.92.100': {'city': 'Northlake', 'state': 'Illinois'}, '24.153.93.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.113.102.0/24, {'96.113.102.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.102.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.99.192.0/21, {'96.99.192.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.99.195.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.99.198.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 162.150.0.0/20, {'162.150.0.100': {'city': 'Northlake', 'state': 'Illinois'}, '162.150.6.100': {'city': 'Northlake', 'state': 'Illinois'}, '162.150.12.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 24.153.70.0/23, {'24.153.70.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '24.153.71.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 162.151.101.0/24, {'162.151.101.50': {'city': 'New York City', 'state': 'New York'}, '162.151.101.150': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.32.0/21, {'96.114.32.100': {'city': 'Portland', 'state': 'Oregon'}, '96.114.35.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.114.38.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 96.113.100.0/23, {'96.113.100.100': {'city': 'Lakewood', 'state': 'Washington'}, '96.113.101.100': {'city': 'Lakewood', 'state': 'Washington'}}
COMCAST_AS7922, 96.109.70.0/23, {'96.109.70.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.109.71.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.119.160.0/24, {'96.119.160.50': {'city': 'Texline', 'state': 'Texas'}, '96.119.160.150': {'city': 'Texline', 'state': 'Texas'}}
COMCAST_AS7922, 96.108.176.0/23, {'96.108.176.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.108.177.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.110.180.0/22, {'96.110.180.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.110.183.100': {'city': 'Atlantic City', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.104.0/22, {'96.113.104.100': {'city': 'New York City', 'state': 'New York'}, '96.113.107.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 96.115.136.0/22, {'96.115.136.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.115.139.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 67.164.236.0/23, {'67.164.236.100': {'city': 'Felt', 'state': 'Oklahoma'}, '67.164.237.100': {'city': 'Felt', 'state': 'Oklahoma'}}
COMCAST_AS7922, 96.99.175.0/24, {'96.99.175.50': {'city': 'Seattle', 'state': 'Washington'}, '96.99.175.150': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 162.151.108.0/22, {'162.151.108.100': {'city': 'New York City', 'state': 'New York'}, '162.151.111.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.248.0/23, {'96.113.248.100': {'city': 'Seattle', 'state': 'Washington'}, '96.113.249.100': {'city': 'Seattle', 'state': 'Washington'}}
