ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.96.40.0/21, {'96.96.40.100': {'city': None, 'state': None}, '96.96.43.100': {'city': None, 'state': None}, '96.96.46.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.24.0/23, {'162.151.24.100': {'city': None, 'state': None}, '162.151.25.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.96.0/22, {'96.114.96.100': {'city': None, 'state': None}, '96.114.99.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.125.0/24, {'96.113.125.50': {'city': None, 'state': None}, '96.113.125.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.236.0/24, {'96.113.236.50': {'city': None, 'state': None}, '96.113.236.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.234.0/24, {'162.151.234.50': {'city': None, 'state': None}, '162.151.234.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.170.0/24, {'96.108.170.50': {'city': None, 'state': None}, '96.108.170.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.148.0/22, {'96.113.148.100': {'city': None, 'state': None}, '96.113.151.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.88.0/23, {'96.115.88.100': {'city': None, 'state': None}, '96.115.89.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.119.80.0/20, {'96.119.80.100': {'city': None, 'state': None}, '96.119.86.100': {'city': None, 'state': None}, '96.119.92.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.241.52.0/24, {'69.241.52.50': {'city': 'Peoria', 'state': 'Illinois'}, '69.241.52.150': {'city': 'Peoria', 'state': 'Illinois'}}
COMCAST_AS7922, 96.115.198.0/23, {'96.115.198.100': {'city': None, 'state': None}, '96.115.199.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.116.196.0/22, {'96.116.196.100': {'city': None, 'state': None}, '96.116.199.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.32.0/19, {'96.113.32.100': {'city': None, 'state': None}, '96.113.47.100': {'city': None, 'state': None}, '96.113.62.100': {'city': None, 'state': None}}
COMCAST_AS7922, 24.153.92.0/23, {'24.153.92.100': {'city': None, 'state': None}, '24.153.93.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.102.0/24, {'96.113.102.50': {'city': None, 'state': None}, '96.113.102.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.99.192.0/21, {'96.99.192.100': {'city': None, 'state': None}, '96.99.195.100': {'city': None, 'state': None}, '96.99.198.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.150.0.0/20, {'162.150.0.100': {'city': None, 'state': None}, '162.150.6.100': {'city': None, 'state': None}, '162.150.12.100': {'city': None, 'state': None}}
COMCAST_AS7922, 24.153.70.0/23, {'24.153.70.100': {'city': None, 'state': None}, '24.153.71.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.101.0/24, {'162.151.101.50': {'city': None, 'state': None}, '162.151.101.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.32.0/21, {'96.114.32.100': {'city': None, 'state': None}, '96.114.35.100': {'city': None, 'state': None}, '96.114.38.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.100.0/23, {'96.113.100.100': {'city': None, 'state': None}, '96.113.101.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.109.70.0/23, {'96.109.70.100': {'city': None, 'state': None}, '96.109.71.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.119.160.0/24, {'96.119.160.50': {'city': None, 'state': None}, '96.119.160.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.176.0/23, {'96.108.176.100': {'city': None, 'state': None}, '96.108.177.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.110.180.0/22, {'96.110.180.100': {'city': None, 'state': None}, '96.110.183.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.104.0/22, {'96.113.104.100': {'city': None, 'state': None}, '96.113.107.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.136.0/22, {'96.115.136.100': {'city': None, 'state': None}, '96.115.139.100': {'city': None, 'state': None}}
COMCAST_AS7922, 67.164.236.0/23, {'67.164.236.100': {'city': 'Castle Rock', 'state': 'Colorado'}, '67.164.237.100': {'city': 'Castle Rock', 'state': 'Colorado'}}
COMCAST_AS7922, 96.99.175.0/24, {'96.99.175.50': {'city': None, 'state': None}, '96.99.175.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.108.0/22, {'162.151.108.100': {'city': None, 'state': None}, '162.151.111.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.248.0/23, {'96.113.248.100': {'city': None, 'state': None}, '96.113.249.100': {'city': None, 'state': None}}
COMCAST_AS7922, 76.96.228.0/23, {'76.96.228.100': {'city': None, 'state': None}, '76.96.229.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.176.0/20, {'96.115.176.100': {'city': None, 'state': None}, '96.115.182.100': {'city': None, 'state': None}, '96.115.188.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.139.178.0/23, {'69.139.178.100': {'city': None, 'state': None}, '69.139.179.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.139.204.0/24, {'69.139.204.50': {'city': None, 'state': None}, '69.139.204.150': {'city': None, 'state': None}}
COMCAST_AS7922, 69.241.62.0/23, {'69.241.62.100': {'city': 'Peoria', 'state': 'Illinois'}, '69.241.63.100': {'city': 'Peoria', 'state': 'Illinois'}}
COMCAST_AS7922, 96.113.246.0/23, {'96.113.246.100': {'city': None, 'state': None}, '96.113.247.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.252.213.0/24, {'69.252.213.50': {'city': 'Marana', 'state': 'Arizona'}, '69.252.213.150': {'city': 'Marana', 'state': 'Arizona'}}
COMCAST_AS7922, 162.151.66.0/23, {'162.151.66.100': {'city': None, 'state': None}, '162.151.67.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.172.0/24, {'96.113.172.50': {'city': None, 'state': None}, '96.113.172.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.77.0/24, {'162.151.77.50': {'city': None, 'state': None}, '162.151.77.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.16.0/22, {'96.108.16.100': {'city': None, 'state': None}, '96.108.19.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.228.0/22, {'96.113.228.100': {'city': None, 'state': None}, '96.113.231.100': {'city': None, 'state': None}}
COMCAST_AS7922, 24.124.164.0/22, {'24.124.164.100': {'city': None, 'state': None}, '24.124.167.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.237.0/24, {'96.113.237.50': {'city': None, 'state': None}, '96.113.237.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.109.39.0/24, {'96.109.39.50': {'city': None, 'state': None}, '96.109.39.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.20.0/22, {'96.114.20.100': {'city': 'Brooklyn', 'state': 'New York'}, '96.114.23.100': {'city': 'Brooklyn', 'state': 'New York'}}
COMCAST_AS7922, 96.113.126.0/23, {'96.113.126.100': {'city': None, 'state': None}, '96.113.127.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.245.0/24, {'96.113.245.50': {'city': None, 'state': None}, '96.113.245.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.192.0/21, {'96.113.192.100': {'city': None, 'state': None}, '96.113.195.100': {'city': None, 'state': None}, '96.113.198.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.99.174.0/24, {'96.99.174.50': {'city': None, 'state': None}, '96.99.174.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.218.0/23, {'96.115.218.100': {'city': None, 'state': None}, '96.115.219.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.100.0/24, {'162.151.100.50': {'city': None, 'state': None}, '162.151.100.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.80.0/22, {'96.115.80.100': {'city': None, 'state': None}, '96.115.83.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.108.0/23, {'96.108.108.100': {'city': None, 'state': None}, '96.108.109.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.116.64.0/19, {'96.116.64.100': {'city': None, 'state': None}, '96.116.79.100': {'city': None, 'state': None}, '96.116.94.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.192.0/21, {'162.151.192.100': {'city': None, 'state': None}, '162.151.195.100': {'city': None, 'state': None}, '162.151.198.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.99.171.0/24, {'96.99.171.50': {'city': None, 'state': None}, '96.99.171.150': {'city': None, 'state': None}}
COMCAST_AS7922, 69.252.238.0/23, {'69.252.238.100': {'city': None, 'state': None}, '69.252.239.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.0.0/22, {'96.114.0.100': {'city': 'Brooklyn', 'state': 'New York'}, '96.114.3.100': {'city': 'Brooklyn', 'state': 'New York'}}
COMCAST_AS7922, 96.96.18.0/23, {'96.96.18.100': {'city': None, 'state': None}, '96.96.19.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.115.128.0/21, {'96.115.128.100': {'city': None, 'state': None}, '96.115.131.100': {'city': None, 'state': None}, '96.115.134.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.54.0/23, {'96.108.54.100': {'city': 'Modena', 'state': 'Pennsylvania'}, '96.108.55.100': {'city': 'Modena', 'state': 'Pennsylvania'}}
COMCAST_AS7922, 96.113.98.0/23, {'96.113.98.100': {'city': None, 'state': None}, '96.113.99.100': {'city': None, 'state': None}}
COMCAST_AS7922, 76.96.231.0/24, {'76.96.231.50': {'city': None, 'state': None}, '76.96.231.150': {'city': None, 'state': None}}
COMCAST_AS7922, 68.87.112.0/21, {'68.87.112.100': {'city': 'Philadelphia', 'state': 'Pennsylvania'}, '68.87.115.100': {'city': 'Philadelphia', 'state': 'Pennsylvania'}, '68.87.118.100': {'city': 'Philadelphia', 'state': 'Pennsylvania'}}
COMCAST_AS7922, 162.151.226.0/23, {'162.151.226.100': {'city': None, 'state': None}, '162.151.227.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.241.53.0/24, {'69.241.53.50': {'city': 'Peoria', 'state': 'Illinois'}, '69.241.53.150': {'city': 'Peoria', 'state': 'Illinois'}}
COMCAST_AS7922, 96.118.32.0/19, {'96.118.32.100': {'city': None, 'state': None}, '96.118.47.100': {'city': None, 'state': None}, '96.118.62.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.168.0/23, {'96.108.168.100': {'city': None, 'state': None}, '96.108.169.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.117.64.0/19, {'96.117.64.100': {'city': None, 'state': None}, '96.117.79.100': {'city': None, 'state': None}, '96.117.94.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.139.139.0/24, {'69.139.139.50': {'city': None, 'state': None}, '69.139.139.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.116.96.0/19, {'96.116.96.100': {'city': None, 'state': None}, '96.116.111.100': {'city': None, 'state': None}, '96.116.126.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.97.0/24, {'96.113.97.50': {'city': None, 'state': None}, '96.113.97.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.231.0/24, {'162.151.231.50': {'city': None, 'state': None}, '162.151.231.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.189.0/24, {'96.108.189.50': {'city': None, 'state': None}, '96.108.189.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.72.0/22, {'96.108.72.100': {'city': None, 'state': None}, '96.108.75.100': {'city': None, 'state': None}}
COMCAST_AS7922, 162.150.48.0/20, {'162.150.48.100': {'city': None, 'state': None}, '162.150.54.100': {'city': None, 'state': None}, '162.150.60.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.132.0/23, {'96.113.132.100': {'city': None, 'state': None}, '96.113.133.100': {'city': None, 'state': None}}
