ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 216.162.215.0/24, {'216.162.215.50': {'city': 'Ashburn', 'state': 'Virginia'}, '216.162.215.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 208.65.84.0/24, {'208.65.84.50': {'city': 'Atlanta', 'state': 'Georgia'}, '208.65.84.150': {'city': 'Atlanta', 'state': 'Georgia'}}
COMCAST_AS7922, 216.162.194.0/23, {'216.162.194.100': {'city': 'Baltimore', 'state': 'Maryland'}, '216.162.195.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 208.65.85.0/24, {'208.65.85.50': {'city': 'Rockville', 'state': 'Maryland'}, '208.65.85.150': {'city': 'Rockville', 'state': 'Maryland'}}
COMCAST_AS7922, 209.54.102.0/24, {'209.54.102.50': {'city': 'Rockville', 'state': 'Maryland'}, '209.54.102.150': {'city': 'Rockville', 'state': 'Maryland'}}
COMCAST_AS7922, 170.39.172.0/24, {'170.39.172.50': {'city': 'Ashburn', 'state': 'Virginia'}, '170.39.172.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 216.162.202.0/23, {'216.162.202.100': {'city': 'Ashburn', 'state': 'Virginia'}, '216.162.203.100': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 170.39.173.0/24, {'170.39.173.50': {'city': 'Ashburn', 'state': 'Virginia'}, '170.39.173.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 98.192.0.0/11, {}
COMCAST_AS7922, 209.54.111.0/24, {'209.54.111.50': {'city': 'Los Angeles', 'state': 'California'}, '209.54.111.150': {'city': 'Los Angeles', 'state': 'California'}}
COMCAST_AS7922, 104.223.3.0/24, {'104.223.3.50': {'city': 'Ashburn', 'state': 'Virginia'}, '104.223.3.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 73.128.0.0/11, {}
COMCAST_AS7922, 50.200.194.0/24, {'50.200.194.50': {'city': 'Clayton', 'state': 'New Mexico'}, '50.200.194.150': {'city': 'Centennial', 'state': 'Colorado'}}
COMCAST_AS7922, 209.54.110.0/24, {'209.54.110.50': {'city': 'Los Angeles', 'state': 'California'}, '209.54.110.150': {'city': 'Los Angeles', 'state': 'California'}}
COMCAST_AS7922, 50.128.0.0/11, {}
COMCAST_AS7922, 216.162.212.0/24, {'216.162.212.50': {'city': 'Ashburn', 'state': 'Virginia'}, '216.162.212.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 208.65.87.0/24, {'208.65.87.50': {'city': 'Baltimore', 'state': 'Maryland'}, '208.65.87.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 50.192.0.0/11, {}
COMCAST_AS7922, 209.54.108.0/24, {'209.54.108.50': {'city': 'Los Angeles', 'state': 'California'}, '209.54.108.150': {'city': 'Los Angeles', 'state': 'California'}}
COMCAST_AS7922, 209.54.107.0/24, {'209.54.107.50': {'city': 'Ashburn', 'state': 'Virginia'}, '209.54.107.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 73.0.0.0/11, {}
COMCAST_AS7922, 50.160.0.0/11, {}
COMCAST_AS7922, 216.162.196.0/22, {'216.162.196.100': {'city': 'Baltimore', 'state': 'Maryland'}, '216.162.199.100': {'city': 'Rockville', 'state': 'Maryland'}}
COMCAST_AS7922, 209.54.101.0/24, {'209.54.101.50': {'city': 'Ashburn', 'state': 'Virginia'}, '209.54.101.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 199.15.92.0/22, {'199.15.92.100': {'city': 'Ashburn', 'state': 'Virginia'}, '199.15.95.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 170.39.174.0/24, {'170.39.174.50': {'city': 'Baltimore', 'state': 'Maryland'}, '170.39.174.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 104.223.8.0/24, {'104.223.8.50': {'city': 'Ashburn', 'state': 'Virginia'}, '104.223.8.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 170.39.175.0/24, {'170.39.175.50': {'city': 'Baltimore', 'state': 'Maryland'}, '170.39.175.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 73.192.0.0/11, {}
COMCAST_AS7922, 208.65.86.0/24, {'208.65.86.50': {'city': 'Baltimore', 'state': 'Maryland'}, '208.65.86.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 73.64.0.0/11, {}
COMCAST_AS7922, 209.23.192.0/22, {'209.23.192.100': {'city': 'Denver', 'state': 'Colorado'}, '209.23.195.100': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 73.96.0.0/11, {}
COMCAST_AS7922, 50.224.0.0/11, {}
COMCAST_AS7922, 104.223.7.0/24, {'104.223.7.50': {'city': 'Ashburn', 'state': 'Virginia'}, '104.223.7.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 216.162.200.0/24, {'216.162.200.50': {'city': 'Ashburn', 'state': 'Virginia'}, '216.162.200.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 73.32.0.0/11, {}
WINDSTREAM_AS7029, 23.172.160.0/24, {'23.172.160.50': {'city': 'Atlantic', 'state': 'Iowa'}, '23.172.160.150': {'city': 'Atlantic', 'state': 'Iowa'}}
WINDSTREAM_AS7029, 198.102.80.0/23, {'198.102.80.100': {'city': 'Milwaukee', 'state': 'Wisconsin'}, '198.102.81.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 207.222.3.0/24, {'207.222.3.50': {'city': 'Anniston', 'state': 'Alabama'}, '207.222.3.150': {'city': 'Anniston', 'state': 'Alabama'}}
WINDSTREAM_AS7029, 167.160.158.0/24, {'167.160.158.50': {'city': 'Flagstaff', 'state': 'Arizona'}, '167.160.158.150': {'city': 'Flagstaff', 'state': 'Arizona'}}
WINDSTREAM_AS7029, 209.242.46.0/24, {'209.242.46.50': {'city': 'Lake in the Hills', 'state': 'Illinois'}, '209.242.46.150': {'city': 'Lake in the Hills', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 209.96.202.0/23, {'209.96.202.100': {'city': 'Dahlonega', 'state': 'Georgia'}, '209.96.203.100': {'city': 'Little Rock', 'state': 'Arkansas'}}
WINDSTREAM_AS7029, 66.0.13.0/24, {'66.0.13.50': {'city': 'Gainesville', 'state': 'Florida'}, '66.0.13.150': {'city': 'Gainesville', 'state': 'Florida'}}
